City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,Malakal,SS,71.6,light rain,9.5334,31.6605,Nile Palace Hotel
579,Leshan,CN,76.37,light rain,29.5623,103.7639,Leshan Haiyun International Youth Hostel
580,Tucurui,BR,72.52,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
581,Teknaf,BD,82.74,broken clouds,20.8624,92.3058,Forestry Guesthouse
584,Songjianghe,CN,77.09,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
585,Aquiraz,BR,80.19,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
589,Phan Thiet,VN,81.39,overcast clouds,10.9333,108.1,Hotel Saigon-PT
590,Rayachoti,IN,80.91,overcast clouds,14.05,78.75,ANNAMAYYA FAMILY RESTAURANT
592,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
593,Huanan,CN,80.19,overcast clouds,46.2167,130.5167,Xilong Hotel
594,Acajutla,SV,80.58,overcast clouds,13.5928,-89.8275,Laureles
595,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
597,Pedernales,DO,83.46,clear sky,18.0384,-71.744,Hotel Costa Marina
599,Namatanai,PG,84.42,light rain,-3.6667,152.4333,Seagulls Inn Namatani
601,Puerto Escondido,MX,81.86,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
603,Aktau,KZ,73.98,clear sky,43.65,51.2,Silk Way Hotel
604,Nortelandia,BR,73.71,clear sky,-14.4547,-56.8028,Pousada e Restaurante Santana
606,Zhangye,CN,75.7,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
608,Harrisburg,US,70.45,moderate rain,40.2737,-76.8844,Hilton Harrisburg
612,Edremit,TR,72.16,clear sky,39.5961,27.0244,Adramis Thermal Hotel
614,Salinopolis,BR,78.15,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
615,Sabha,LY,81.52,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
618,Seoni,IN,74.89,overcast clouds,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
622,Alta Floresta,BR,76.35,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
623,Sao Felix Do Xingu,BR,75.25,few clouds,-6.6447,-51.995,Rio Xingu Camping
626,Tekirdag,TR,74.55,broken clouds,40.978,27.5085,Tekirdağ Yat Hotel
627,Manokwari,ID,82.51,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
628,Conde,BR,74.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
629,Guane,CU,79.18,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
630,Kavaratti,IN,78.71,overcast clouds,10.5669,72.642,Green leaf
634,Palmer,US,76.21,overcast clouds,42.1584,-72.3287,Wedgewood Motel
635,Kyaukse,MM,82.45,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
641,Semporna,MY,78.8,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
642,Morehead,US,76.75,broken clouds,37.2711,-87.1764,CCI Express Inn
643,San Javier,ES,81.57,clear sky,37.8063,-0.8374,Hotel Mar Menor
651,Bocana De Paiwas,NI,73.53,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
654,Hadishahr,AZ,77.49,few clouds,38.8431,45.6635,هتل آپارتمان آرامیس
655,Bastrop,US,82.71,overcast clouds,32.7562,-91.8724,Best Budget Inn
657,Seoul,KR,81.97,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
662,Nurota,UZ,72.63,scattered clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
663,Mandalgovi,MN,73.99,overcast clouds,45.7625,106.2708,В.Ганбат
667,Porangatu,BR,76.01,clear sky,-13.4408,-49.1486,Wembley Park Hotel
670,Chiquimulilla,GT,76.1,overcast clouds,14.0858,-90.3767,Hotel La Esperanza
672,Guia De Isora,ES,75.11,clear sky,28.2115,-16.7795,La Vista Pension
673,Balyaga,RU,70.23,broken clouds,51.1507,108.921,Gostinitsa
675,Iaciara,BR,74.12,clear sky,-14.0958,-46.6317,Hotel Matinha
679,Awjilah,LY,79.56,clear sky,29.1081,21.2869,المنزل
680,Cuiluan,CN,79.07,moderate rain,47.72,128.648,Shuncheng Hotel
683,Numan,NG,74.5,overcast clouds,9.4667,12.0333,Zangun Motel
684,Balabac,PH,79.5,light rain,7.9868,117.0645,Batalla’s Lodging House
690,Baghmara,IN,84.7,overcast clouds,23.795,86.2085,Shankar tea shop
691,Lata,PT,70.09,clear sky,40.1629,-8.3327,Casa Maquia
692,Caibarien,CU,81.75,clear sky,22.5206,-79.4669,La Nena
693,Aksu,CN,73.53,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
694,Mashhad,IR,71.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
704,Murgab,TM,80.11,overcast clouds,37.4966,61.9714,Wepa Nurlyýew
706,Banamba,ML,77.7,few clouds,13.55,-7.45,Kassela de Banamba
707,Bloomsburg,US,73.58,overcast clouds,41.0037,-76.4549,Hampton Inn Bloomsburg
708,Japura,ID,77.02,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
709,Cuajinicuilapa,MX,80.69,overcast clouds,16.4667,-98.4167,Pozo S. XVI
