City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
226,Chuy,UY,-33.6971,-53.4616,47.82,81,91,3.53,overcast clouds
227,Takoradi,GH,4.8845,-1.7554,73.53,84,95,12.19,overcast clouds
228,Gravdal,NO,68.1214,13.5031,53.96,93,100,8.86,overcast clouds
229,Mar Del Plata,AR,-38.0023,-57.5575,55.09,87,0,4.61,clear sky
230,Banikoara,BJ,11.2985,2.4386,70.81,96,74,4.72,broken clouds
231,Bahia Honda,CU,22.9036,-83.1592,80.55,85,12,10.8,light rain
232,Palana,RU,59.1167,159.9667,54.86,67,3,6.69,clear sky
233,Chokurdakh,RU,70.6333,147.9167,67.87,61,100,10.47,overcast clouds
234,Bukama,CD,-9.2,25.85,72.07,43,1,3.44,clear sky
235,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,9.22,scattered clouds
236,Soyo,AO,-6.1349,12.3689,68.81,93,10,8.95,clear sky
237,Nanortalik,GL,60.1432,-45.2371,46.54,92,71,6.53,broken clouds
238,Flinders,AU,-34.5833,150.8552,64.38,66,2,5.99,clear sky
239,Vanderhoof,CA,54.0166,-124.0198,86.52,26,3,8.84,clear sky
240,Peterhead,GB,57.5058,-1.7981,55.8,79,51,6.64,broken clouds
241,Primorsk,UA,46.7348,36.3443,72.91,75,99,3.04,moderate rain
242,Swan River,CA,52.1058,-101.2676,67.89,68,89,10.36,overcast clouds
243,Lodja,CD,-3.4833,23.4333,72.45,76,97,2.26,overcast clouds
244,Tigil,RU,57.8,158.6667,67.66,46,13,3.56,few clouds
245,Hopelchen,MX,19.7667,-89.85,82.33,62,14,2.86,few clouds
246,Siocon,PH,7.7061,122.1353,83.3,77,100,1.77,overcast clouds
247,Hervey Bay,AU,-25.2986,152.8535,65.71,73,100,6.24,overcast clouds
248,Trimbak,IN,19.9333,73.55,68.45,95,85,3.22,overcast clouds
249,Thompson,CA,55.7435,-97.8558,57.36,94,75,3.44,broken clouds
250,Saldanha,ZA,-33.0117,17.9442,41.05,79,0,13.35,clear sky
251,Raudeberg,NO,61.9875,5.1352,52.47,73,40,6.29,scattered clouds
252,Matamoros,MX,25.5333,-103.25,89.83,22,0,12.8,clear sky
253,Muros,ES,42.7762,-9.0603,70.09,69,1,10.8,clear sky
254,Ouesso,CG,1.6136,16.0517,70.7,85,98,2.33,overcast clouds
255,Tomohon,ID,1.3346,124.8392,77.94,65,100,1.83,overcast clouds
256,Arman,RU,59.7,150.1667,59.02,90,100,7.14,overcast clouds
257,Dwarka,IN,22.2394,68.9678,80.55,81,100,20.6,overcast clouds
258,Hernani,ES,43.2662,-1.9762,70.21,82,20,1.14,few clouds
259,Provideniya,RU,64.3833,-173.3,50.36,76,0,7.0,clear sky
260,Husavik,IS,66.0449,-17.3389,41.88,93,100,9.71,overcast clouds
261,Gazli,UZ,40.1333,63.45,79.7,34,14,7.72,few clouds
262,Ishinomaki,JP,38.4167,141.3,84.2,73,100,7.27,overcast clouds
263,Cerrito,CO,6.8432,-72.694,54.07,94,100,4.83,overcast clouds
264,Port Blair,IN,11.6667,92.75,78.84,94,40,2.3,scattered clouds
265,Kichera,RU,55.9375,110.0997,56.68,99,100,1.3,light rain
266,Cabedelo,BR,-6.9811,-34.8339,75.87,83,94,12.97,overcast clouds
267,Atasu,KZ,48.6814,71.6433,63.91,60,31,0.38,scattered clouds
268,Urumqi,CN,43.801,87.6005,72.55,57,0,4.47,clear sky
269,Baykit,RU,61.67,96.37,61.47,85,100,3.18,light rain
270,Codigoro,IT,44.8311,12.1142,75.09,65,0,3.31,clear sky
271,Alice Springs,AU,-23.7,133.8833,58.55,38,2,18.41,clear sky
272,Araxa,BR,-19.5933,-46.9406,71.56,37,0,8.05,clear sky
273,Mehamn,NO,71.0357,27.8492,57.15,94,100,1.14,overcast clouds
274,Kununurra,AU,-15.7667,128.7333,76.98,31,56,4.61,broken clouds
275,Taltal,CL,-25.4,-70.4833,59.34,79,0,2.77,clear sky
276,Kapuskasing,CA,49.4169,-82.4331,75.2,69,100,14.97,thunderstorm with light rain
277,Deputatskiy,RU,69.3,139.9,69.51,64,100,3.91,overcast clouds
278,Nelson Bay,AU,-32.7167,152.15,60.01,84,100,8.01,light rain
279,Ushtobe,KZ,45.2514,77.9838,73.18,40,73,2.73,broken clouds
280,Pokrovsk,UA,48.282,37.1758,68.76,49,41,12.73,scattered clouds
281,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,75,3.44,broken clouds
282,Umea,SE,63.8284,20.2597,57.9,93,75,0.0,fog
283,Gisborne,NZ,-38.6533,178.0042,56.21,35,0,0.69,clear sky
284,Kulhudhuffushi,MV,6.6221,73.07,77.47,82,100,35.7,moderate rain
285,Buta,CD,2.7858,24.73,69.21,99,99,0.22,overcast clouds
286,Ngunguru,NZ,-35.6167,174.5,58.86,49,2,7.72,clear sky
287,Fairbanks,US,64.8378,-147.7164,66.31,73,75,4.61,broken clouds
288,Caravelas,BR,-17.7125,-39.2481,69.84,90,81,7.72,broken clouds
289,Fontaine,FR,45.1984,5.6827,75.47,71,0,2.77,clear sky
290,Russell,US,32.3502,-85.1999,91.0,70,0,0.0,clear sky
291,Bodden Town,KY,19.2833,-81.25,89.01,78,20,13.8,few clouds
292,Mitsamiouli,KM,-11.3847,43.2844,75.18,71,0,3.69,clear sky
293,Urrao,CO,6.3152,-76.1342,59.27,98,100,2.15,overcast clouds
294,Toro,CO,4.6117,-76.0814,78.08,96,100,3.49,overcast clouds
295,Vostok,RU,46.4856,135.8833,77.16,66,100,3.76,overcast clouds
296,Kibre Mengist,ET,5.8833,38.9833,58.77,92,100,1.45,light rain
297,Necochea,AR,-38.5473,-58.7368,50.68,80,99,7.45,overcast clouds
298,General Roca,AR,-39.0333,-67.5833,50.63,51,79,3.83,broken clouds
299,Darhan,MN,49.4867,105.9228,70.0,60,16,1.1,few clouds
300,Eureka,US,40.8021,-124.1637,79.66,78,90,7.0,overcast clouds
301,Makat,KZ,47.6469,53.3463,81.16,35,100,6.64,overcast clouds
302,Mahajanga,MG,-15.7167,46.3167,66.22,77,20,2.3,few clouds
303,Jitra,MY,6.2681,100.4217,75.09,100,40,5.99,scattered clouds
304,San Rafael,AR,-34.6177,-68.3301,51.15,36,3,4.52,clear sky
305,Road Town,VG,18.4167,-64.6167,82.49,89,40,9.22,scattered clouds
